restaurant_id,rest_name,category ,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
90,congue etiam,Spanish,medium,staten_island,4:06 PM,5,true
91,mauris laoreet ut,Caribbean,expensive,staten_island,6:15 PM,5,false
92,aliquam,Indian,expensive,staten_island,1:22 AM,2,false
93,in hac,Fusion,cheap,staten_island,11:16 PM,4,false
94,semper est,Mexican,expensive,manhattan,3:38 PM,4,false
95,tristique fusce,Mediterranean,medium,queens,11:23 AM,2,true
96,morbi quis,Middle Eastern,medium,staten_island,1:56 PM,3,true
97,aliquam,Vietnamese,medium,queens,7:57 AM,2,false
98,phasellus in felis,Vegetarian,cheap,bronx,5:40 PM,1,false
99,quam turpis adipiscing,Middle Eastern,medium,staten_island,2:28 AM,5,false
100,sed,African,cheap,staten_island,5:26 AM,1,false
101,pellentesque at,Thai,expensive,manhattan,7:51 PM,1,false
102,vehicula,Middle Eastern,medium,brooklyn,8:52 PM,3,false
103,libero ut massa,Middle Eastern,expensive,brooklyn,9:22 PM,4,false
104,leo maecenas,American,expensive,brooklyn,5:10 AM,4,true
105,amet sem,Italian,medium,brooklyn,5:44 PM,5,true
106,eget tempus vel,Mexican,cheap,brooklyn,12:59 AM,5,false
107,mollis molestie lorem,Japanese,cheap,queens,7:43 AM,4,true
108,justo aliquam,African,cheap,staten_island,4:38 AM,5,false
109,vitae nisi nam,Vegetarian,expensive,manhattan,7:35 AM,1,true
110,hendrerit at vulputate,Vegan,expensive,staten_island,6:37 AM,3,true
111,odio justo,Greek,expensive,queens,9:12 AM,2,false
112,eget,Brazilian,cheap,brooklyn,11:14 PM,5,false
113,a suscipit,Thai,medium,queens,3:21 AM,4,false
114,neque sapien placerat,Spanish,cheap,manhattan,4:22 AM,3,false
115,id,Korean,expensive,queens,12:48 AM,1,false
116,duis at,Caribbean,cheap,staten_island,3:46 PM,1,false
117,vehicula condimentum,Greek,medium,staten_island,4:01 PM,2,false
118,potenti nullam porttitor,Greek,expensive,queens,11:18 PM,3,true
119,phasellus id,Vietnamese,medium,queens,9:01 AM,5,true
120,vestibulum sagittis sapien,Vietnamese,cheap,brooklyn,5:42 PM,3,true
121,amet consectetuer adipiscing,African,expensive,queens,1:41 AM,1,true
122,in,Italian,cheap,bronx,6:49 PM,5,true
123,cursus urna,Japanese,medium,bronx,6:14 AM,4,false
124,luctus et ultrices,Vietnamese,medium,staten_island,7:33 AM,1,true
125,consectetuer adipiscing elit,Italian,cheap,staten_island,7:09 PM,4,true
126,sit amet,Vegan,cheap,staten_island,4:24 AM,1,true
127,a suscipit nulla,Thai,medium,brooklyn,10:37 PM,3,true
128,dictumst aliquam,Vietnamese,expensive,manhattan,7:15 PM,1,false
129,mauris non,Indian,medium,brooklyn,12:09 PM,1,true
130,risus,Caribbean,medium,bronx,11:38 PM,3,false
131,nulla,French,cheap,queens,1:43 AM,3,false
132,condimentum id luctus,Indian,expensive,manhattan,10:43 AM,3,false
133,amet,Korean,cheap,brooklyn,10:35 PM,4,false
134,amet eros suspendisse,Spanish,medium,queens,3:35 AM,1,true
135,nulla,Middle Eastern,expensive,queens,12:42 PM,5,true
136,et,Italian,cheap,bronx,10:15 AM,5,true
137,orci nullam molestie,Korean,medium,manhattan,1:18 PM,2,false
138,volutpat dui,Vietnamese,expensive,brooklyn,10:14 AM,1,true
139,id pretium iaculis,Indian,cheap,brooklyn,7:37 PM,5,false
140,eu,Italian,medium,bronx,10:39 AM,1,false
141,dui luctus,Middle Eastern,cheap,queens,9:56 PM,5,true
142,tellus in,Mexican,medium,queens,11:14 AM,5,false
143,parturient montes,Vietnamese,cheap,staten_island,9:52 PM,2,true
144,nam,Italian,cheap,bronx,6:08 PM,5,true
145,blandit ultrices enim,Korean,medium,bronx,10:08 PM,5,true
146,convallis duis consequat,Spanish,cheap,brooklyn,9:56 PM,3,false
147,luctus,Korean,medium,brooklyn,1:56 AM,1,false
148,dictumst aliquam,French,cheap,manhattan,1:17 AM,1,true
149,accumsan tortor quis,Middle Eastern,medium,staten_island,6:46 PM,3,false
150,tempor turpis nec,Brazilian,expensive,queens,8:55 PM,2,false
151,tristique,Middle Eastern,cheap,manhattan,12:09 AM,4,true
152,pulvinar,Spanish,cheap,queens,2:59 AM,1,false
153,non mi integer,Japanese,medium,staten_island,6:39 AM,5,false
154,justo,Brazilian,expensive,brooklyn,6:58 PM,4,true
155,integer non velit,Fusion,medium,staten_island,1:03 PM,5,false
156,porttitor lacus,Spanish,expensive,brooklyn,10:28 AM,3,false
157,viverra,Spanish,medium,brooklyn,3:31 AM,3,true
158,pellentesque at,Caribbean,cheap,brooklyn,3:43 AM,5,false
159,donec ut dolor,Greek,expensive,queens,10:52 PM,2,false
160,vestibulum,Chinese,medium,staten_island,8:02 PM,3,true
161,nec dui luctus,Fusion,cheap,manhattan,6:38 AM,3,false
162,primis,Spanish,expensive,queens,9:43 PM,3,true
163,sed augue aliquam,Italian,cheap,staten_island,12:29 PM,3,false
164,tortor eu pede,Mediterranean,cheap,queens,2:20 AM,2,false
165,tempus,Vietnamese,medium,staten_island,6:29 PM,1,true
166,vel lectus in,Middle Eastern,medium,bronx,4:59 AM,4,true
167,nibh,Spanish,cheap,staten_island,10:47 PM,5,true
168,turpis,Middle Eastern,expensive,queens,9:37 PM,2,true
169,mus,Greek,cheap,bronx,6:19 AM,5,false
170,sapien quis libero,Indian,medium,manhattan,9:42 PM,5,false
171,proin eu,Korean,cheap,manhattan,10:17 AM,1,false
172,aliquam,Chinese,medium,queens,3:33 AM,4,false
173,pede morbi porttitor,American,medium,staten_island,11:02 PM,2,true
174,mattis egestas metus,African,cheap,brooklyn,1:23 AM,2,true
175,lectus suspendisse potenti,Chinese,expensive,brooklyn,8:48 PM,4,false
176,accumsan,French,cheap,manhattan,5:46 AM,1,false
177,lorem,Vegetarian,medium,bronx,5:19 PM,5,true
178,amet turpis elementum,Japanese,cheap,staten_island,8:51 PM,4,true
179,ac enim in,Mediterranean,cheap,brooklyn,3:45 AM,1,false
180,sapien,Caribbean,cheap,queens,10:05 PM,3,true
181,vivamus,Korean,cheap,staten_island,8:10 PM,5,true
182,convallis nunc,Middle Eastern,expensive,staten_island,3:32 PM,4,true
183,viverra diam,Mexican,cheap,queens,4:46 PM,2,false
184,vel lectus in,Thai,medium,staten_island,2:28 AM,5,false
185,neque,Italian,expensive,manhattan,7:53 AM,5,true
186,lorem quisque,Vegetarian,cheap,manhattan,12:30 AM,2,true
187,nulla,African,expensive,queens,8:52 AM,5,true
188,consectetuer adipiscing elit,Vegetarian,cheap,queens,6:29 AM,4,true
189,ac,Japanese,cheap,brooklyn,6:56 PM,2,false
190,lacus curabitur at,Vietnamese,medium,queens,9:04 AM,4,true
191,eget rutrum at,Japanese,cheap,brooklyn,8:13 AM,2,true
192,non,Indian,medium,queens,6:28 PM,5,false
193,sem,Middle Eastern,cheap,manhattan,10:52 PM,3,false
194,diam,Mexican,medium,manhattan,7:28 PM,4,false
195,luctus cum,Mediterranean,cheap,staten_island,7:09 AM,2,false
196,sed ante,Brazilian,cheap,bronx,10:49 PM,5,false
197,pede,African,expensive,staten_island,11:58 AM,5,true
198,rutrum ac,Vegetarian,cheap,staten_island,2:27 AM,2,false
199,sed,Vegetarian,cheap,staten_island,10:32 AM,2,false
200,neque,Greek,expensive,queens,5:45 AM,4,true
201,id ligula suspendisse,Mediterranean,medium,bronx,2:21 AM,2,true
202,massa volutpat,Middle Eastern,expensive,brooklyn,9:37 PM,5,true
203,quisque ut,Chinese,cheap,bronx,6:45 AM,1,true
204,varius,Italian,medium,manhattan,5:25 AM,3,false
205,morbi sem mauris,Korean,cheap,queens,2:47 AM,4,true
206,nunc viverra dapibus,Greek,expensive,queens,2:42 PM,3,false
207,egestas metus,Caribbean,cheap,queens,11:07 PM,1,true
208,pellentesque eget,Italian,medium,brooklyn,12:49 AM,3,true
209,in,Japanese,expensive,staten_island,1:41 AM,2,true
210,dui,American,cheap,staten_island,7:05 PM,2,false
211,ultrices,Japanese,cheap,manhattan,2:11 AM,5,true
212,lacinia,Korean,expensive,bronx,10:15 PM,5,true
213,praesent blandit,Fusion,expensive,brooklyn,4:32 PM,3,false
214,id,Brazilian,medium,staten_island,5:42 PM,2,false
215,sapien varius ut,Indian,cheap,bronx,6:08 AM,3,false
216,lacinia,Korean,cheap,brooklyn,1:41 AM,2,true
217,sagittis sapien cum,Japanese,expensive,staten_island,9:31 PM,4,false
218,venenatis non sodales,Vietnamese,medium,brooklyn,6:26 PM,5,true
219,donec semper sapien,Italian,cheap,staten_island,4:52 AM,2,true
220,massa id,Greek,medium,queens,12:37 AM,3,false
221,nulla,Vegetarian,medium,manhattan,1:14 AM,4,true
222,ipsum,Brazilian,medium,manhattan,11:13 PM,1,false
223,sit amet consectetuer,French,expensive,queens,1:06 AM,3,true
224,sit amet,Brazilian,expensive,brooklyn,3:37 AM,1,true
225,adipiscing lorem vitae,Mexican,cheap,staten_island,5:34 AM,2,false
226,tempus,Mediterranean,expensive,manhattan,2:38 AM,3,false
227,pellentesque ultrices,American,cheap,bronx,9:27 AM,1,false
228,sapien a,Mediterranean,cheap,brooklyn,10:43 AM,1,true
229,eu mi,Middle Eastern,medium,brooklyn,10:24 AM,4,true
230,ut,Vegan,expensive,manhattan,6:37 PM,1,true
231,nunc vestibulum,American,expensive,queens,6:55 AM,5,true
232,metus,Spanish,expensive,manhattan,3:30 AM,5,true
233,pellentesque volutpat dui,Japanese,cheap,manhattan,4:45 AM,1,false
234,tempor convallis nulla,American,expensive,bronx,6:21 AM,5,true
235,nam tristique tortor,Middle Eastern,expensive,manhattan,9:31 AM,2,false
236,eu nibh,French,cheap,brooklyn,2:33 AM,5,true
237,ultricies,French,medium,brooklyn,3:54 PM,3,true
238,nam nulla,Middle Eastern,medium,brooklyn,1:07 AM,5,false
239,tortor eu,Mexican,cheap,queens,10:38 PM,1,true
240,nulla suspendisse,Vegetarian,expensive,manhattan,11:17 AM,3,true
241,aliquet at,Greek,medium,manhattan,7:30 AM,3,false
242,in magna,Indian,cheap,staten_island,10:41 AM,1,false
243,neque sapien,Mediterranean,expensive,staten_island,12:41 PM,2,true
244,interdum,Vegetarian,medium,brooklyn,4:30 PM,5,true
245,dapibus,Vegan,cheap,queens,7:29 PM,5,true
246,ipsum dolor,Chinese,cheap,manhattan,3:25 AM,4,true
247,varius integer ac,Fusion,expensive,manhattan,2:36 AM,5,true
248,eget semper rutrum,Chinese,medium,staten_island,12:51 PM,5,false
249,nulla pede ullamcorper,French,cheap,bronx,9:29 PM,3,true
250,sit,Chinese,medium,bronx,6:40 PM,2,true
251,ligula pellentesque ultrices,Thai,expensive,manhattan,2:39 AM,1,false
252,dis parturient montes,African,expensive,manhattan,3:41 AM,5,true
253,rhoncus,Korean,medium,manhattan,10:18 PM,4,true
254,proin at,African,medium,manhattan,1:57 AM,5,false
255,vel,Greek,cheap,staten_island,8:49 AM,4,true
256,commodo placerat,Vietnamese,expensive,manhattan,10:55 AM,4,true
257,integer ac,Vegan,expensive,staten_island,3:38 PM,2,true
258,id ligula suspendisse,Mediterranean,cheap,manhattan,7:25 PM,4,true
259,est,Vegetarian,medium,bronx,10:16 AM,2,true
260,quis,Mediterranean,medium,bronx,12:42 PM,1,false
261,rutrum rutrum,Mexican,medium,manhattan,11:28 PM,3,true
262,faucibus orci,American,cheap,staten_island,7:05 AM,2,true
263,mus,Vietnamese,expensive,staten_island,12:09 PM,4,true
264,sit amet,Vegan,cheap,brooklyn,6:02 PM,3,false
265,eleifend,Brazilian,expensive,manhattan,2:59 AM,3,false
266,a nibh in,Brazilian,cheap,bronx,5:26 PM,3,false
267,elit proin interdum,Mexican,expensive,manhattan,2:33 PM,1,true
268,fusce,African,cheap,queens,10:12 AM,5,false
269,neque,Caribbean,expensive,queens,3:03 AM,2,false
270,luctus,Brazilian,cheap,bronx,3:31 AM,5,false
271,lorem,Brazilian,expensive,bronx,8:10 AM,1,true
272,vitae,Middle Eastern,cheap,manhattan,5:07 PM,4,false
273,lorem,Mexican,cheap,manhattan,8:03 PM,4,false
274,vestibulum proin eu,Italian,medium,manhattan,3:50 AM,1,true
275,ipsum dolor,Japanese,medium,brooklyn,12:08 AM,2,false
276,tristique tortor eu,Indian,expensive,bronx,5:29 PM,5,true
277,quam suspendisse,Korean,cheap,queens,3:35 PM,5,false
278,rutrum,Japanese,medium,queens,4:20 AM,5,true
279,ipsum primis,American,medium,staten_island,5:31 AM,3,true
280,vivamus,Mediterranean,medium,manhattan,8:00 PM,3,false
281,sit amet nunc,French,medium,staten_island,8:43 AM,5,true
282,vestibulum sed magna,Brazilian,medium,brooklyn,10:40 PM,3,false
283,in,African,medium,manhattan,6:38 PM,4,false
284,sit,Chinese,cheap,bronx,7:36 AM,4,false
285,ac leo pellentesque,French,cheap,bronx,12:08 AM,4,true
286,tincidunt,Italian,expensive,manhattan,4:11 PM,4,true
287,mus etiam vel,Chinese,cheap,brooklyn,8:30 PM,4,false
288,est,Chinese,medium,staten_island,1:02 AM,1,false
289,morbi non quam,Vegan,medium,manhattan,11:15 AM,2,true
290,erat tortor,Chinese,cheap,queens,2:41 AM,3,false
291,venenatis,Korean,medium,queens,5:28 AM,3,true
292,luctus cum,Brazilian,medium,queens,4:45 PM,3,false
293,faucibus orci luctus,African,expensive,manhattan,3:58 PM,4,true
294,lacus at turpis,Middle Eastern,cheap,bronx,10:31 PM,4,false
295,pede,Caribbean,expensive,staten_island,9:25 AM,1,true
296,in congue etiam,American,medium,staten_island,9:30 AM,5,false
297,vehicula condimentum,Mexican,cheap,brooklyn,3:06 PM,2,true
298,rutrum neque,Spanish,medium,manhattan,8:04 PM,2,false
299,pede,Korean,medium,brooklyn,7:29 PM,3,true
300,elementum in,Italian,expensive,brooklyn,1:35 AM,1,false
301,non lectus,African,cheap,bronx,7:50 PM,3,false
302,sapien dignissim vestibulum,Korean,cheap,manhattan,3:10 PM,1,true
303,suspendisse ornare consequat,Korean,cheap,bronx,8:57 AM,5,true
304,nisi eu,Thai,cheap,queens,11:23 PM,3,true
305,augue luctus,Indian,cheap,queens,12:50 PM,3,true
306,dui,American,cheap,manhattan,5:28 PM,2,true
307,nullam molestie nibh,Brazilian,expensive,bronx,10:09 AM,2,false
308,at,Mexican,cheap,staten_island,9:49 AM,2,true
309,et ultrices,Chinese,medium,staten_island,2:10 PM,3,false
310,sit amet,Brazilian,expensive,manhattan,6:23 AM,4,false
311,gravida nisi,Japanese,expensive,bronx,12:32 PM,2,true
312,ante vivamus,Caribbean,cheap,staten_island,8:06 AM,1,false
313,curabitur in,Japanese,expensive,brooklyn,2:51 PM,2,true
314,erat fermentum,Caribbean,expensive,manhattan,7:54 PM,4,false
315,augue,Thai,cheap,brooklyn,9:48 AM,5,false
316,montes nascetur,Brazilian,medium,bronx,7:05 PM,2,true
317,habitasse,Japanese,expensive,brooklyn,2:35 AM,5,false
318,nisl,American,cheap,staten_island,12:31 AM,3,true
319,volutpat convallis,Italian,medium,queens,6:19 AM,1,true
320,duis at velit,American,medium,queens,3:27 PM,3,true
321,eu est congue,Spanish,medium,staten_island,1:48 AM,4,true
322,pede malesuada,Greek,expensive,bronx,11:14 PM,2,true
323,amet,Caribbean,medium,manhattan,11:10 PM,1,false
324,aliquam,Italian,cheap,brooklyn,4:49 PM,4,false
325,donec pharetra magna,Thai,cheap,bronx,12:50 PM,4,true
326,vestibulum,Brazilian,medium,bronx,4:20 AM,1,true
327,sit amet,Vietnamese,cheap,brooklyn,6:39 PM,1,false
328,non quam,French,expensive,brooklyn,3:51 AM,1,false
329,ac,Spanish,expensive,brooklyn,2:25 AM,3,true
330,augue luctus,Fusion,cheap,queens,10:56 AM,2,false
331,interdum venenatis,Thai,expensive,bronx,11:23 AM,5,false
332,sed vel,Brazilian,expensive,manhattan,1:12 PM,5,true
333,nulla pede,Brazilian,cheap,bronx,6:56 PM,1,true
334,hac,Caribbean,medium,bronx,5:34 AM,5,false
335,justo lacinia eget,Caribbean,cheap,brooklyn,7:38 PM,1,false
336,nulla,Brazilian,expensive,queens,2:21 AM,1,false
337,mi,Mediterranean,cheap,staten_island,7:54 AM,3,false
338,ipsum praesent blandit,Greek,medium,queens,7:14 AM,4,true
339,nascetur ridiculus mus,Caribbean,medium,bronx,4:55 AM,3,false
340,platea dictumst,Vietnamese,medium,manhattan,11:28 AM,3,false
341,nulla mollis molestie,Italian,medium,manhattan,2:19 AM,4,false
342,eu tincidunt,Vegetarian,medium,queens,6:56 PM,3,true
343,est,Korean,expensive,manhattan,10:17 PM,3,false
344,consequat,Italian,cheap,queens,5:49 PM,2,true
345,donec posuere,African,expensive,queens,7:59 AM,4,true
346,dictumst morbi vestibulum,Japanese,medium,queens,6:54 PM,2,true
347,at velit vivamus,Thai,medium,brooklyn,4:10 AM,5,true
348,duis faucibus,Greek,cheap,bronx,9:09 AM,3,true
349,interdum mauris,American,medium,staten_island,11:50 PM,4,false
350,bibendum imperdiet nullam,Greek,cheap,bronx,11:52 PM,3,false
351,suspendisse potenti,French,expensive,manhattan,2:39 PM,5,true
352,justo,Spanish,cheap,manhattan,4:54 AM,4,true
353,pede,Italian,expensive,manhattan,2:04 PM,4,true
354,elementum,Fusion,medium,manhattan,2:44 PM,1,true
355,accumsan odio,Vietnamese,expensive,manhattan,9:35 PM,3,true
356,vel,Thai,cheap,staten_island,11:55 PM,4,false
357,magna,Middle Eastern,medium,staten_island,5:50 PM,1,true
358,sit,Italian,cheap,brooklyn,9:06 AM,5,true
359,eget,Korean,cheap,brooklyn,7:19 AM,5,true
360,magna,American,medium,bronx,1:50 AM,2,true
361,cursus,Thai,medium,queens,7:30 AM,5,false
362,viverra,Italian,cheap,manhattan,8:41 AM,1,false
363,hac habitasse platea,Japanese,expensive,bronx,7:20 PM,3,false
364,nam congue,Korean,expensive,queens,10:12 AM,1,true
365,mus vivamus vestibulum,Thai,cheap,manhattan,1:11 AM,2,true
366,etiam,Italian,cheap,queens,10:10 AM,1,false
367,viverra,Fusion,expensive,queens,9:28 PM,5,false
368,nisl duis,Mediterranean,medium,queens,6:06 PM,4,true
369,platea dictumst,Indian,medium,manhattan,2:15 PM,1,true
370,lacinia,Middle Eastern,medium,queens,11:54 PM,2,false
371,felis ut,Spanish,medium,manhattan,5:49 PM,5,false
372,diam vitae,African,expensive,staten_island,8:47 AM,4,false
373,massa id,Vegetarian,expensive,brooklyn,10:40 AM,4,false
374,turpis donec posuere,Vegan,medium,queens,4:48 AM,4,true
375,ut,Indian,medium,manhattan,8:13 PM,1,false
376,orci,French,medium,brooklyn,7:21 PM,5,true
377,vulputate nonummy maecenas,Vegan,medium,queens,5:22 AM,2,false
378,ut,Thai,cheap,brooklyn,2:22 AM,5,true
379,tincidunt in,Middle Eastern,cheap,staten_island,10:52 AM,1,false
380,vitae nisl aenean,American,expensive,queens,7:25 AM,3,true
381,quis lectus,Vietnamese,cheap,bronx,3:00 AM,3,false
382,nam,Fusion,cheap,queens,8:40 AM,2,true
383,sem,American,medium,bronx,3:10 AM,2,false
384,sapien,Vegan,expensive,manhattan,8:32 AM,2,false
385,in tempor turpis,Greek,expensive,bronx,10:05 AM,2,true
386,magna ac,Middle Eastern,expensive,manhattan,12:09 PM,5,false
387,praesent id,Chinese,medium,bronx,1:27 PM,4,false
388,amet lobortis sapien,Japanese,cheap,queens,9:34 AM,2,false
389,nulla ac enim,Fusion,cheap,bronx,9:15 PM,4,true
390,vitae quam suspendisse,Spanish,cheap,bronx,9:24 PM,1,false
391,mattis,Greek,expensive,bronx,6:47 PM,1,true
392,sed interdum,Caribbean,expensive,bronx,12:53 PM,1,false
393,consequat morbi,Mexican,expensive,manhattan,1:55 PM,5,false
394,pretium,Thai,medium,staten_island,2:15 AM,5,false
395,diam,French,cheap,queens,11:46 AM,4,true
396,proin interdum mauris,French,cheap,manhattan,3:45 AM,5,false
397,libero quis,Italian,medium,brooklyn,9:21 PM,3,false
398,purus phasellus in,Caribbean,expensive,queens,5:41 AM,5,false
399,platea,Chinese,medium,brooklyn,7:04 AM,4,true
400,proin,Vegan,expensive,bronx,5:40 PM,5,false
401,ante vestibulum,Chinese,medium,brooklyn,2:58 AM,1,false
402,integer,Middle Eastern,expensive,manhattan,12:15 PM,5,false
403,odio justo sollicitudin,Spanish,medium,bronx,6:59 AM,1,true
404,nam nulla,Vegetarian,medium,manhattan,1:30 PM,3,false
405,fermentum,Brazilian,expensive,staten_island,12:51 AM,5,false
406,platea dictumst morbi,Mexican,expensive,queens,3:08 PM,1,true
407,hac,Middle Eastern,medium,manhattan,7:14 AM,4,true
408,a libero,Spanish,expensive,bronx,4:33 PM,4,false
409,gravida sem,Middle Eastern,medium,staten_island,7:42 AM,2,true
410,pretium nisl,Korean,expensive,staten_island,1:54 PM,5,true
411,eros,Vietnamese,medium,manhattan,6:49 AM,1,true
412,in,Spanish,expensive,brooklyn,12:06 PM,4,true
413,metus sapien ut,French,cheap,brooklyn,4:50 AM,4,true
414,sit amet cursus,Vietnamese,cheap,brooklyn,10:57 AM,3,true
415,mauris,Spanish,expensive,staten_island,12:48 AM,3,false
416,eu mi nulla,Greek,cheap,brooklyn,8:41 PM,4,false
417,eu mi,French,cheap,staten_island,1:16 AM,5,true
418,ultrices posuere,Mexican,medium,manhattan,2:27 AM,2,true
419,lobortis,Chinese,cheap,staten_island,8:11 PM,2,false
420,id,Mexican,medium,staten_island,7:54 AM,3,true
421,congue diam id,Spanish,medium,queens,2:32 AM,1,true
422,ut mauris eget,Mediterranean,expensive,brooklyn,11:53 PM,2,false
423,curabitur gravida,Vegetarian,cheap,bronx,4:09 PM,1,false
424,convallis,Korean,expensive,brooklyn,10:16 AM,2,true
425,curabitur in,Chinese,medium,bronx,1:21 AM,3,false
426,quis orci,Middle Eastern,medium,bronx,12:46 AM,4,false
427,dapibus duis,Korean,medium,staten_island,2:09 AM,2,false
428,nunc viverra,Chinese,expensive,manhattan,7:02 AM,1,false
